location_name,type,method
坪山中心站,14,subway
坑梓站,14,subway
沙田站,14,subway
左炮台东站,12,subway
太子湾站,12,subway
海上世界站,12,subway
花果山站,12,subway
四海站,12,subway
南油站,12,subway
南光站,12,subway
南山站,12,subway
桃园站,12,subway
南头古城站,12,subway
中山公园站,12,subway
同乐南站,12,subway
新安公园站,12,subway
灵芝站,12,subway
上川站,12,subway
流塘站,12,subway
宝安客运站站,12,subway
宝田一路站,12,subway
平峦山站,12,subway
西乡桃源站,12,subway
钟屋南站,12,subway
黄田站,12,subway
兴围站,12,subway
机场东站,12,subway
福围站,12,subway
怀德站,12,subway
福永站,12,subway
桥头西站,12,subway
福海西站,12,subway
国展站,12,subway
国展北站,12,subway
海上田园南站站,12,subway
海上田园东站,12,subway
光明站,6（支线）,subway
圳美站,6（支线）,subway
中大站,6（支线）,subway
深理工站,6（支线）,subway
大运站,16,subway
大运中心站,16,subway
龙城公园站,16,subway
黄阁坑站,16,subway
愉园站,16,subway
回龙埔站,16,subway
尚景站,16,subway
盛平站,16,subway
龙园站,16,subway
双龙站,16,subway
新塘围站,16,subway
龙东站,16,subway
宝龙同乐站,16,subway
坪山站,16,subway
新和站,16,subway
六和站,16,subway
坪山围站,16,subway
坪环站,16,subway
东纵纪念馆站,16,subway
沙壆站,16,subway
燕子湖站,16,subway
石井站,16,subway
技术大学站,16,subway
田心站,16,subway
机场北站,20,subway
国展南站,20,subway
国展站,20,subway
国展北站,20,subway
会展城站,20,subway
清湖站,龙华有轨电车,subway
清龙站,龙华有轨电车,subway
清湖学校站,龙华有轨电车,subway
梅龙北站,龙华有轨电车,subway
碧澜站,龙华有轨电车,subway
文澜站,龙华有轨电车,subway
大和站,龙华有轨电车,subway
世纪广场站,龙华有轨电车,subway
锦鲤站,龙华有轨电车,subway
河西站,龙华有轨电车,subway
观城站,龙华有轨电车,subway
大布头站,龙华有轨电车,subway
河东站,龙华有轨电车,subway
石角头站,龙华有轨电车,subway
新澜站,龙华有轨电车,subway
大和站,龙华有轨电车（支线）,subway
东庵站,龙华有轨电车（支线）,subway
高新区西站,龙华有轨电车（支线）,subway
高新区站,龙华有轨电车（支线）,subway
高新区东站,龙华有轨电车（支线）,subway
下围站,龙华有轨电车（支线）,subway
